,I2748,A2707,A2735,I2745,I2723,A2723,A2708,A2733,I2716,I2742,I2746,I2747,A2705,A2716,I2759,I2707,I2706,I2726,A2706,A2724,A2731,I2727,A2712,A2727,I2749
Arsenate MIC,150,150,200,150,100,150,150,100,150,200,100,50,200,200,200,200,200,200,250,250,250,200,350,350,200
Arsenite MIC,14,14,20,3,3,20,5,5,20,20,20,3,3,5,5,3,3,3,3,3,5,3,3,5,7
Transformation,25,75,75,25,50,75,50,50,0,0,0,0,0,10,0,50,50,50,75,50,75,50,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
