Well,Strain,Arsenic,Concentration
A01,NEG,III,0
A02,NEG,III,1
A03,NEG,III,3
A04,NEG,III,5
A05,NEG,III,7
A06,NEG,III,10
A07,NEG,III,14
A08,NEG,III,20
A09,NEG,III,25
A10,I2716,III,0
A11,I2716,III,0
A12,I2716,III,0
B01,I2746,III,0
B02,I2746,III,1
B03,I2746,III,3
B04,I2746,III,5
B05,I2746,III,7
B06,I2746,III,10
B07,I2746,III,14
B08,I2746,III,20
B09,I2746,III,25
B10,I2716,III,1
B11,I2716,III,1
B12,I2716,III,1
C01,I2746,III,0
C02,I2746,III,1
C03,I2746,III,3
C04,I2746,III,5
C05,I2746,III,7
C06,I2746,III,10
C07,I2746,III,14
C08,I2746,III,20
C09,I2746,III,25
C10,I2716,III,3
C11,I2716,III,3
C12,I2716,III,3
D01,I2746,III,0
D02,I2746,III,1
D03,I2746,III,3
D04,I2746,III,5
D05,I2746,III,7
D06,I2746,III,10
D07,I2746,III,14
D08,I2746,III,20
D09,I2746,III,25
D10,I2716,III,5
D11,I2716,III,5
D12,I2716,III,5
E01,I2748,III,0
E02,I2748,III,1
E03,I2748,III,3
E04,I2748,III,5
E05,I2748,III,7
E06,I2748,III,10
E07,I2748,III,14
E08,I2748,III,20
E09,I2748,III,25
E10,I2716,III,7
E11,I2716,III,7
E12,I2716,III,7
F01,I2748,III,0
F02,I2748,III,1
F03,I2748,III,3
F04,I2748,III,5
F05,I2748,III,7
F06,I2748,III,10
F07,I2748,III,14
F08,I2748,III,20
F09,I2748,III,25
F10,I2716,III,10
F11,I2716,III,10
F12,I2716,III,10
G01,I2748,III,0
G02,I2748,III,1
G03,I2748,III,3
G04,I2748,III,5
G05,I2748,III,7
G06,I2748,III,10
G07,I2748,III,14
G08,I2748,III,20
G09,I2748,III,25
G10,I2716,III,14
G11,I2716,III,25
G12,I2716,III,14
H01,I2716,III,0
H02,I2716,III,1
H03,I2716,III,3
H04,I2716,III,5
H05,I2716,III,7
H06,I2716,III,10
H07,I2716,III,14
H08,I2716,III,20
H09,I2716,III,25
H10,I2716,III,20
H11,I2716,III,25
H12,I2716,III,20
