"","TestId","AddId","concentration","reliability","used.model","log.x","log.y","nboot.gc","mu.model","lambda.model","A.model","integral.model","stdmu.model","stdlambda.model","stdA.model","ci90.mu.model.lo","ci90.mu.model.up","ci90.lambda.model.lo","ci90.lambda.model.up","ci90.A.model.lo","ci90.A.model.up","ci95.mu.model.lo","ci95.mu.model.up","ci95.lambda.model.lo","ci95.lambda.model.up","ci95.A.model.lo","ci95.A.model.up","mu.spline","lambda.spline","A.spline","integral.spline","mu.bt","lambda.bt","A.bt","integral.bt","stdmu.bt","stdlambda.bt","stdA.bt","stdintegral.bt","ci90.mu.bt.lo","ci90.mu.bt.up","ci90.lambda.bt.lo","ci90.lambda.bt.up","ci90.A.bt.lo","ci90.A.bt.up","ci90.integral.bt.lo","ci90.integral.bt.up","ci95.mu.bt.lo","ci95.mu.bt.up","ci95.lambda.bt.lo","ci95.lambda.bt.up","ci95.A.bt.lo","ci95.A.bt.up","ci95.integral.bt.lo","ci95.integral.bt.up"
"1","I2742","III",0,TRUE,"gompertz.exp",FALSE,FALSE,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05433409371e-05,74392.5349823867,0.281086266022465,15782.5900009177,2.04170188102322e-05,81158.5919554669,0.279481029193994,15692.4277263181,2.09317069403675e-06,3559.36294527096,0.00394146382498595,175.057967806322,1.69737530185418e-05,2.38602846019226e-05,75303.4399104962,87013.7440004377,0.272997321201892,0.285964737186096,15404.4573692767,15980.3980833595,1.63144042499202e-05,2.45196333705442e-05,74182.2405827358,88134.943328198,0.271755760097021,0.287206298290966,15349.3141094177,16035.5413432185
"2","I2742","III",0,TRUE,"logistic",FALSE,FALSE,100,2.51914803198832e-06,34327.2329277258,0.0605362479680269,12946.7476794635,1.78781548341283e-06,9765.6239148744,0.00349938196537149,-4.21808438225778e-07,5.46010450220242e-06,18262.7815877574,50391.6842676942,0.0547797646349908,0.066292731301063,-9.84970315500819e-07,6.02326637947746e-06,15186.610054572,53467.8558008796,0.0536774593158988,0.067395036620155,2.00103218717484e-05,75032.1826447171,0.287967875767751,13305.1684125406,1.9613422795057e-05,83807.0696018597,0.286751267784715,13277.3358764813,2.11734256114851e-06,2408.43631594503,0.0054382180604292,83.7484664728367,1.61303942819677e-05,2.30964513081463e-05,79845.1918621302,87768.9473415893,0.277805399075309,0.295697136494121,13139.5696491335,13415.1021038291,1.54634313752059e-05,2.37634142149081e-05,79086.5344226075,88527.604781112,0.276092360386274,0.297410175183157,13113.1888821946,13441.4828707681
"3","I2742","III",0,TRUE,"logistic",FALSE,FALSE,100,4.00771004281583e-06,46189.2517964695,0.0801823294295399,16358.8200528142,1.95107736392115e-06,5580.46622602229,0.0029513054728297,7.98187779165534e-07,7.21723230646612e-06,37009.3848546629,55369.1187382762,0.075327431926735,0.0850372269323447,1.83598409530371e-07,7.83182167610129e-06,35251.5379934658,57126.9655994732,0.0743977707027937,0.0859668881562861,2.13057030670937e-05,77202.9207936707,0.277891685175146,16713.4905848008,2.10784335997719e-05,83711.4113455739,0.276559510449039,16642.6956475792,3.18159939583179e-06,2980.46697463039,0.00689715143589997,89.0823717903922,1.58447025936286e-05,2.63121646059152e-05,78808.5431723069,88614.2795188409,0.265213696336984,0.287905324561095,16496.155145984,16789.2361491744,1.48424987839415e-05,2.73143684156022e-05,77869.6960752984,89553.1266158495,0.263041093634675,0.290077927263403,16468.0941988701,16817.2970962884
"4","I2742b","III",0,TRUE,"logistic",FALSE,FALSE,100,3.35491025341554e-06,47703.471118616,0.0600675462693754,12227.2054771521,2.80728544275851e-06,8587.11745450542,0.00358293456436163,-1.2630742999222e-06,7.97289480675328e-06,33577.6629059546,61829.2793312774,0.0541736189110005,0.0659614736277503,-2.14736921439113e-06,8.85718972122221e-06,30872.7209077854,64534.2213294466,0.0530449945232266,0.0670900980155242,2.24414640261842e-05,81202.3804207286,0.27317534194096,12419.5269139669,2.26294797668246e-05,88720.8869545817,0.273009210593625,12364.1164425057,4.03794604397008e-06,2975.49006487637,0.00511211169469768,94.0592305985437,1.59870585244938e-05,2.92719010091554e-05,83826.2057978601,93615.5681113033,0.264599786855848,0.281418634331403,12209.389008171,12518.8438768403,1.47151055206432e-05,3.0543854013006e-05,82888.926427424,94552.8474817394,0.262989471672018,0.283028949515233,12179.7603505325,12548.4725344788
"5","NEG","III",0,TRUE,"gompertz.exp",FALSE,FALSE,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","I2742","V",0,TRUE,"logistic",FALSE,FALSE,100,3.91627575045535e-06,50345.6916895028,0.0516063372905335,10489.8126390752,4.38966303656891e-06,8472.97603770445,0.00350257072708931,-3.30471994470051e-06,1.11372714456112e-05,36407.646107479,64283.7372715266,0.0458446084444716,0.0573680661365954,-4.68746380121972e-06,1.25200153021304e-05,33738.6586556021,66952.7247234035,0.0447412986654385,0.0584713759156285,2.13519843546228e-05,77578.849950782,0.267550268473305,10536.6564848525,1.98144067599185e-05,83569.4446934489,0.26557925131408,10508.3576055906,2.75291315159687e-06,3008.26485727338,0.00772083735581819,76.5816388637823,1.52858646255416e-05,2.43429488942953e-05,78620.8490032341,88518.0403836636,0.252878473863759,0.278280028764401,10382.3808096596,10634.3344015215,1.44186969827886e-05,2.52101165370483e-05,77673.245573193,89465.6438137047,0.250446410096677,0.280712092531484,10358.2575934175,10658.4576177636
"7","I2742","V",0,TRUE,"logistic",FALSE,FALSE,100,3.96005566311654e-06,49935.1475157939,0.0494892981741146,10096.709496321,4.64764228233524e-06,8414.86573950114,0.0034136061720758,-3.68531589132493e-06,1.1605427217558e-05,36092.6933743145,63777.6016572733,0.0438739160210499,0.0551046803271792,-5.14932321026052e-06,1.30694345364936e-05,33442.0106663717,66428.2843652162,0.042798630076846,0.0561799662713831,3.11220779166916e-05,80030.4639101851,0.253811825926606,10134.1848116689,2.18909840554524e-05,84487.0016707347,0.251055147585645,10122.9717761458,5.82562049220772e-06,2645.05876567656,0.00663523607907773,76.9771953543273,1.23078383457707e-05,3.14741297651341e-05,80135.8800011968,88838.1233402727,0.240140184235562,0.261970110935728,9996.34428978795,10249.5992625037,1.04727678907253e-05,3.33092002201795e-05,79302.6864900087,89671.3168514608,0.238050084870653,0.264060210300638,9972.09647325134,10273.8470790403
"8","I2742","V",0,TRUE,"logistic",FALSE,FALSE,100,3.83708662192413e-06,48490.2532579873,0.0590573967471547,12049.1414341015,3.28544123646953e-06,7557.07965529315,0.00331984617779853,-1.56746421206824e-06,9.2416374559165e-06,36058.8572250301,60921.6492909446,0.0535962497846761,0.0645185437096332,-2.60237820155614e-06,1.02765514454044e-05,33678.3771336127,63302.1293823619,0.0525504982386695,0.0655642952556398,1.88964168738494e-05,77300.4656322472,0.267779043609311,12122.5552584627,1.93066620886976e-05,84661.6641252553,0.265638204719773,12088.791588129,2.93431405429739e-06,2413.62185912438,0.00499285191670823,73.5270898617468,1.44797154693784e-05,2.41336087080168e-05,80691.2561669957,88632.0720835149,0.257424963316788,0.273851446122758,11967.8395253064,12209.7436509516,1.35554065422747e-05,2.50579176351205e-05,79930.9652813715,89392.3629691391,0.255852214963025,0.275424194476522,11944.678492,12232.904684258
"9","I2742b","V",0,TRUE,"logistic",FALSE,FALSE,100,5.72413809291821e-06,57216.2904057644,0.102050693642357,19805.7906204976,2.17648513563313e-06,3884.80338850382,0.00283089900115421,2.14382004480171e-06,9.30445614103471e-06,50825.7888316756,63606.7919798532,0.0973938647854583,0.106707522499256,1.45822722707727e-06,9.99004895875915e-06,49602.0757642969,64830.5050472319,0.0965021316000947,0.107599255684619,2.03527193672385e-05,80212.2382325003,0.271706841956982,19926.6313450559,1.89872446561905e-05,87014.001860784,0.271882670957275,19874.1237249916,1.69216426289919e-06,8427.96108408682,0.00269973568763307,102.891114538575,1.62036344437213e-05,2.17708548686596e-05,73150.0058774611,100877.997844107,0.267441605751119,0.276323736163432,19704.8678415757,20043.3796084076,1.56706027009081e-05,2.23038866114729e-05,70495.1981359738,103532.805585594,0.266591189009515,0.277174152905036,19672.457140496,20075.7903094872
"10","NEG","V",0,TRUE,"gompertz.exp",FALSE,FALSE,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
