"","Time","Well","OD590","Strain","Arsenic","Concentration"
"1","0","A01","0","NEG","V",0
"2","1017","A01","0","NEG","V",0
"3","2034","A01","0","NEG","V",0
"4","3050","A01","0","NEG","V",0
"5","4067","A01","0","NEG","V",0
"6","5083","A01","0","NEG","V",0
"7","6099","A01","0","NEG","V",0
"8","7116","A01","0","NEG","V",0
"9","8133","A01","0","NEG","V",0
"10","9150","A01","0","NEG","V",0
"11","10166","A01","0","NEG","V",0
"12","11183","A01","0","NEG","V",0
"13","12200","A01","0","NEG","V",0
"14","13216","A01","0","NEG","V",0
"15","14232","A01","0","NEG","V",0
"16","15249","A01","0","NEG","V",0
"17","16265","A01","0","NEG","V",0
"18","17282","A01","0","NEG","V",0
"19","18299","A01","0","NEG","V",0
"20","19315","A01","0","NEG","V",0
"21","20332","A01","0","NEG","V",0
"22","21348","A01","0","NEG","V",0
"23","22365","A01","0","NEG","V",0
"24","23382","A01","0","NEG","V",0
"25","24399","A01","0","NEG","V",0
"26","25415","A01","0","NEG","V",0
"27","26432","A01","0","NEG","V",0
"28","27449","A01","0","NEG","V",0
"29","28465","A01","0","NEG","V",0
"30","29482","A01","0","NEG","V",0
"31","30498","A01","0","NEG","V",0
"32","31515","A01","0","NEG","V",0
"33","32532","A01","0","NEG","V",0
"34","33548","A01","0","NEG","V",0
"35","34564","A01","0","NEG","V",0
"36","35581","A01","0","NEG","V",0
"37","36597","A01","0","NEG","V",0
"38","37614","A01","0","NEG","V",0
"39","38631","A01","0","NEG","V",0
"40","39647","A01","0","NEG","V",0
"41","40664","A01","0","NEG","V",0
"42","41681","A01","0","NEG","V",0
"43","42698","A01","0","NEG","V",0
"44","43714","A01","0","NEG","V",0
"45","44731","A01","0","NEG","V",0
"46","45747","A01","0","NEG","V",0
"47","46764","A01","0","NEG","V",0
"48","47780","A01","0","NEG","V",0
"49","48798","A01","0","NEG","V",0
"50","49814","A01","0","NEG","V",0
"51","50831","A01","0","NEG","V",0
"52","51848","A01","0","NEG","V",0
"53","52864","A01","0","NEG","V",0
"54","53881","A01","0","NEG","V",0
"55","54898","A01","0","NEG","V",0
"56","55915","A01","0","NEG","V",0
"57","56931","A01","0","NEG","V",0
"58","57948","A01","0","NEG","V",0
"59","58964","A01","0","NEG","V",0
"60","59981","A01","0","NEG","V",0
"61","60998","A01","0","NEG","V",0
"62","62014","A01","0","NEG","V",0
"63","63031","A01","0","NEG","V",0
"64","64047","A01","0","NEG","V",0
"65","65064","A01","0","NEG","V",0
"66","66080","A01","0","NEG","V",0
"67","67097","A01","0","NEG","V",0
"68","68114","A01","0","NEG","V",0
"69","69131","A01","0","NEG","V",0
"70","70148","A01","0","NEG","V",0
"71","71165","A01","0","NEG","V",0
"72","72182","A01","0","NEG","V",0
"73","73199","A01","0","NEG","V",0
"74","74215","A01","0","NEG","V",0
"75","75232","A01","0","NEG","V",0
"76","76248","A01","0","NEG","V",0
"77","77265","A01","0","NEG","V",0
"78","78282","A01","0","NEG","V",0
"79","79299","A01","0","NEG","V",0
"80","80316","A01","0","NEG","V",0
"81","81332","A01","0","NEG","V",0
"82","82349","A01","0","NEG","V",0
"83","83366","A01","0","NEG","V",0
"84","84382","A01","0","NEG","V",0
"85","85399","A01","0","NEG","V",0
"86","86416","A01","0","NEG","V",0
"87","87433","A01","0","NEG","V",0
"88","88450","A01","0","NEG","V",0
"89","89466","A01","0","NEG","V",0
"90","90483","A01","0","NEG","V",0
"91","91500","A01","0","NEG","V",0
"92","92516","A01","0","NEG","V",0
"93","93533","A01","0","NEG","V",0
"94","94550","A01","0","NEG","V",0
"95","95566","A01","0","NEG","V",0
"96","96583","A01","0","NEG","V",0
"97","97600","A01","0","NEG","V",0
"98","98616","A01","0","NEG","V",0
"99","99633","A01","0","NEG","V",0
"100","100650","A01","0","NEG","V",0
"101","101666","A01","0","NEG","V",0
"102","102683","A01","0","NEG","V",0
"103","103699","A01","0","NEG","V",0
"104","104716","A01","0","NEG","V",0
"105","105733","A01","0","NEG","V",0
"106","106749","A01","0","NEG","V",0
"107","107766","A01","0","NEG","V",0
"108","108783","A01","0","NEG","V",0
"109","109799","A01","0","NEG","V",0
"110","110816","A01","0","NEG","V",0
"111","111832","A01","0","NEG","V",0
"112","112849","A01","0","NEG","V",0
"113","113866","A01","0","NEG","V",0
"114","114882","A01","0","NEG","V",0
"115","115899","A01","0","NEG","V",0
"116","116916","A01","0","NEG","V",0
"117","117933","A01","0","NEG","V",0
"118","118949","A01","0","NEG","V",0
"119","119966","A01","0","NEG","V",0
"120","120982","A01","0","NEG","V",0
"121","121999","A01","0","NEG","V",0
"122","123015","A01","0","NEG","V",0
"123","124032","A01","0","NEG","V",0
"124","125049","A01","0","NEG","V",0
"125","126066","A01","0","NEG","V",0
"126","127082","A01","0","NEG","V",0
"127","128099","A01","0","NEG","V",0
"128","129116","A01","0","NEG","V",0
"129","130133","A01","0","NEG","V",0
"130","131150","A01","0","NEG","V",0
"131","132167","A01","0","NEG","V",0
"132","133184","A01","0","NEG","V",0
"133","134201","A01","0","NEG","V",0
"134","135217","A01","0","NEG","V",0
"135","136234","A01","0","NEG","V",0
"136","137250","A01","0","NEG","V",0
"137","138267","A01","0","NEG","V",0
"138","139284","A01","0","NEG","V",0
"139","140300","A01","0","NEG","V",0
"140","141317","A01","0","NEG","V",0
"141","142333","A01","0","NEG","V",0
"142","143350","A01","0","NEG","V",0
"143","144368","A01","0","NEG","V",0
"144","145385","A01","0","NEG","V",0
"145","146402","A01","0","NEG","V",0
"146","147418","A01","0","NEG","V",0
"147","148435","A01","0","NEG","V",0
"148","149451","A01","0","NEG","V",0
"149","150468","A01","0","NEG","V",0
"150","151484","A01","0","NEG","V",0
"151","152501","A01","0","NEG","V",0
"152","153518","A01","0","NEG","V",0
"153","154534","A01","0","NEG","V",0
"154","155551","A01","0","NEG","V",0
"155","156568","A01","0","NEG","V",0
"156","157585","A01","0","NEG","V",0
"157","158601","A01","0","NEG","V",0
"158","159617","A01","0","NEG","V",0
"159","160635","A01","0","NEG","V",0
"160","161652","A01","0","NEG","V",0
"161","162668","A01","0","NEG","V",0
"162","163685","A01","0","NEG","V",0
"163","164701","A01","0","NEG","V",0
"164","165719","A01","0","NEG","V",0
"165","166735","A01","0","NEG","V",0
"166","167753","A01","0","NEG","V",0
"167","168770","A01","0","NEG","V",0
"168","169786","A01","0","NEG","V",0
"169","170802","A01","0","NEG","V",0
"170","171820","A01","0","NEG","V",0
"171","172837","A01","0","NEG","V",0
"172","173853","A01","0","NEG","V",0
"173","174870","A01","0","NEG","V",0
"174","175887","A01","0","NEG","V",0
"175","176904","A01","0","NEG","V",0
"176","177921","A01","0","NEG","V",0
"177","178938","A01","0","NEG","V",0
"178","179955","A01","0","NEG","V",0
"179","180972","A01","0","NEG","V",0
"180","181989","A01","0","NEG","V",0
"181","183006","A01","0","NEG","V",0
"182","184023","A01","0","NEG","V",0
"183","185039","A01","0","NEG","V",0
"184","186056","A01","0","NEG","V",0
"185","187073","A01","0","NEG","V",0
"186","188090","A01","0","NEG","V",0
"187","189107","A01","0","NEG","V",0
"188","190124","A01","0","NEG","V",0
"189","191141","A01","0","NEG","V",0
"190","192158","A01","0","NEG","V",0
"191","193174","A01","0","NEG","V",0
"192","194191","A01","0","NEG","V",0
"193","195207","A01","0","NEG","V",0
"194","196224","A01","0","NEG","V",0
"195","197240","A01","0","NEG","V",0
"196","198257","A01","0","NEG","V",0
"197","199274","A01","0","NEG","V",0
"198","200291","A01","0","NEG","V",0
"199","201308","A01","0","NEG","V",0
"200","202324","A01","0","NEG","V",0
"201","203341","A01","0","NEG","V",0
"202","204358","A01","0","NEG","V",0
"203","205374","A01","0","NEG","V",0
"204","206391","A01","0","NEG","V",0
"205","207408","A01","0","NEG","V",0
"206","208425","A01","0","NEG","V",0
"207","209442","A01","0","NEG","V",0
"208","210459","A01","0","NEG","V",0
"209","211476","A01","0","NEG","V",0
"210","212493","A01","0","NEG","V",0
"211","213510","A01","0","NEG","V",0
"212","214527","A01","0","NEG","V",0
"213","215544","A01","0","NEG","V",0
"214","216561","A01","0","NEG","V",0
"215","217577","A01","0","NEG","V",0
"216","218594","A01","0","NEG","V",0
"217","219611","A01","0","NEG","V",0
"218","220628","A01","0","NEG","V",0
"219","221644","A01","0","NEG","V",0
"220","222661","A01","0","NEG","V",0
"221","223678","A01","0","NEG","V",0
"222","224695","A01","0","NEG","V",0
"223","225712","A01","0","NEG","V",0
"224","226728","A01","0","NEG","V",0
"225","227745","A01","0","NEG","V",0
"226","228761","A01","0","NEG","V",0
"227","229779","A01","0","NEG","V",0
"228","230795","A01","0","NEG","V",0
"229","231812","A01","0","NEG","V",0
"230","232830","A01","0","NEG","V",0
"231","233847","A01","0","NEG","V",0
"232","234863","A01","0","NEG","V",0
"233","235880","A01","0","NEG","V",0
"234","236897","A01","0","NEG","V",0
"235","237914","A01","0","NEG","V",0
"236","238931","A01","0","NEG","V",0
"237","239948","A01","0","NEG","V",0
"238","240965","A01","0","NEG","V",0
"239","241981","A01","0","NEG","V",0
"240","242998","A01","0","NEG","V",0
"241","244014","A01","0","NEG","V",0
"242","245031","A01","0","NEG","V",0
"243","246048","A01","0","NEG","V",0
"244","247065","A01","0","NEG","V",0
"245","248081","A01","0","NEG","V",0
"246","249098","A01","0","NEG","V",0
"247","250115","A01","0","NEG","V",0
"248","251131","A01","0","NEG","V",0
"249","252148","A01","0","NEG","V",0
"250","253165","A01","0","NEG","V",0
"251","254182","A01","0","NEG","V",0
"252","255198","A01","0","NEG","V",0
"253","256215","A01","0","NEG","V",0
"254","257231","A01","0","NEG","V",0
"255","258248","A01","0","NEG","V",0
"256","0","A02","0.013","A2712","V",0
"257","1017","A02","0.014","A2712","V",0
"258","2034","A02","0.014","A2712","V",0
"259","3050","A02","0.017","A2712","V",0
"260","4067","A02","0.018","A2712","V",0
"261","5083","A02","0.021","A2712","V",0
"262","6099","A02","0.026","A2712","V",0
"263","7116","A02","0.031","A2712","V",0
"264","8133","A02","0.037","A2712","V",0
"265","9150","A02","0.046","A2712","V",0
"266","10166","A02","0.056","A2712","V",0
"267","11183","A02","0.069","A2712","V",0
"268","12200","A02","0.084","A2712","V",0
"269","13216","A02","0.102","A2712","V",0
"270","14232","A02","0.126","A2712","V",0
"271","15249","A02","0.155","A2712","V",0
"272","16265","A02","0.200","A2712","V",0
"273","17282","A02","0.226","A2712","V",0
"274","18299","A02","0.252","A2712","V",0
"275","19315","A02","0.269","A2712","V",0
"276","20332","A02","0.282","A2712","V",0
"277","21348","A02","0.304","A2712","V",0
"278","22365","A02","0.328","A2712","V",0
"279","23382","A02","0.341","A2712","V",0
"280","24399","A02","0.361","A2712","V",0
"281","25415","A02","0.372","A2712","V",0
"282","26432","A02","0.388","A2712","V",0
"283","27449","A02","0.400","A2712","V",0
"284","28465","A02","0.412","A2712","V",0
"285","29482","A02","0.418","A2712","V",0
"286","30498","A02","0.428","A2712","V",0
"287","31515","A02","0.435","A2712","V",0
"288","32532","A02","0.445","A2712","V",0
"289","33548","A02","0.452","A2712","V",0
"290","34564","A02","0.460","A2712","V",0
"291","35581","A02","0.469","A2712","V",0
"292","36597","A02","0.475","A2712","V",0
"293","37614","A02","0.479","A2712","V",0
"294","38631","A02","0.487","A2712","V",0
"295","39647","A02","0.495","A2712","V",0
"296","40664","A02","0.500","A2712","V",0
"297","41681","A02","0.506","A2712","V",0
"298","42698","A02","0.516","A2712","V",0
"299","43714","A02","0.509","A2712","V",0
"300","44731","A02","0.507","A2712","V",0
"301","45747","A02","0.512","A2712","V",0
"302","46764","A02","0.523","A2712","V",0
"303","47780","A02","0.536","A2712","V",0
"304","48798","A02","0.543","A2712","V",0
"305","49814","A02","0.544","A2712","V",0
"306","50831","A02","0.564","A2712","V",0
"307","51848","A02","0.563","A2712","V",0
"308","52864","A02","0.569","A2712","V",0
"309","53881","A02","0.574","A2712","V",0
"310","54898","A02","0.585","A2712","V",0
"311","55915","A02","0.585","A2712","V",0
"312","56931","A02","0.594","A2712","V",0
"313","57948","A02","0.588","A2712","V",0
"314","58964","A02","0.598","A2712","V",0
"315","59981","A02","0.592","A2712","V",0
"316","60998","A02","0.592","A2712","V",0
"317","62014","A02","0.617","A2712","V",0
"318","63031","A02","0.626","A2712","V",0
"319","64047","A02","0.639","A2712","V",0
"320","65064","A02","0.647","A2712","V",0
"321","66080","A02","0.658","A2712","V",0
"322","67097","A02","0.653","A2712","V",0
"323","68114","A02","0.666","A2712","V",0
"324","69131","A02","0.676","A2712","V",0
"325","70148","A02","0.685","A2712","V",0
"326","71165","A02","0.696","A2712","V",0
"327","72182","A02","0.701","A2712","V",0
"328","73199","A02","0.702","A2712","V",0
"329","74215","A02","0.705","A2712","V",0
"330","75232","A02","0.715","A2712","V",0
"331","76248","A02","0.722","A2712","V",0
"332","77265","A02","0.717","A2712","V",0
"333","78282","A02","0.725","A2712","V",0
"334","79299","A02","0.737","A2712","V",0
"335","80316","A02","0.738","A2712","V",0
"336","81332","A02","0.745","A2712","V",0
"337","82349","A02","0.744","A2712","V",0
"338","83366","A02","0.744","A2712","V",0
"339","84382","A02","0.750","A2712","V",0
"340","85399","A02","0.748","A2712","V",0
"341","86416","A02","0.758","A2712","V",0
"342","87433","A02","0.763","A2712","V",0
"343","88450","A02","0.768","A2712","V",0
"344","89466","A02","0.766","A2712","V",0
"345","90483","A02","0.770","A2712","V",0
"346","91500","A02","0.773","A2712","V",0
"347","92516","A02","0.774","A2712","V",0
"348","93533","A02","0.775","A2712","V",0
"349","94550","A02","0.783","A2712","V",0
"350","95566","A02","0.787","A2712","V",0
"351","96583","A02","0.795","A2712","V",0
"352","97600","A02","0.795","A2712","V",0
"353","98616","A02","0.802","A2712","V",0
"354","99633","A02","0.800","A2712","V",0
"355","100650","A02","0.804","A2712","V",0
"356","101666","A02","0.808","A2712","V",0
"357","102683","A02","0.805","A2712","V",0
"358","103699","A02","0.810","A2712","V",0
"359","104716","A02","0.806","A2712","V",0
"360","105733","A02","0.813","A2712","V",0
"361","106749","A02","0.816","A2712","V",0
"362","107766","A02","0.825","A2712","V",0
"363","108783","A02","0.827","A2712","V",0
"364","109799","A02","0.830","A2712","V",0
"365","110816","A02","0.832","A2712","V",0
"366","111832","A02","0.836","A2712","V",0
"367","112849","A02","0.839","A2712","V",0
"368","113866","A02","0.832","A2712","V",0
"369","114882","A02","0.836","A2712","V",0
"370","115899","A02","0.841","A2712","V",0
"371","116916","A02","0.844","A2712","V",0
"372","117933","A02","0.849","A2712","V",0
"373","118949","A02","0.851","A2712","V",0
"374","119966","A02","0.853","A2712","V",0
"375","120982","A02","0.855","A2712","V",0
"376","121999","A02","0.858","A2712","V",0
"377","123015","A02","0.861","A2712","V",0
"378","124032","A02","0.861","A2712","V",0
"379","125049","A02","0.864","A2712","V",0
"380","126066","A02","0.859","A2712","V",0
"381","127082","A02","0.868","A2712","V",0
"382","128099","A02","0.866","A2712","V",0
"383","129116","A02","0.866","A2712","V",0
"384","130133","A02","0.868","A2712","V",0
"385","131150","A02","0.870","A2712","V",0
"386","132167","A02","0.878","A2712","V",0
"387","133184","A02","0.876","A2712","V",0
"388","134201","A02","0.880","A2712","V",0
"389","135217","A02","0.885","A2712","V",0
"390","136234","A02","0.881","A2712","V",0
"391","137250","A02","0.882","A2712","V",0
"392","138267","A02","0.885","A2712","V",0
"393","139284","A02","0.886","A2712","V",0
"394","140300","A02","0.893","A2712","V",0
"395","141317","A02","0.897","A2712","V",0
"396","142333","A02","0.899","A2712","V",0
"397","143350","A02","0.895","A2712","V",0
"398","144368","A02","0.897","A2712","V",0
"399","145385","A02","0.900","A2712","V",0
"400","146402","A02","0.900","A2712","V",0
"401","147418","A02","0.896","A2712","V",0
"402","148435","A02","0.901","A2712","V",0
"403","149451","A02","0.901","A2712","V",0
"404","150468","A02","0.903","A2712","V",0
"405","151484","A02","0.913","A2712","V",0
"406","152501","A02","0.911","A2712","V",0
"407","153518","A02","0.908","A2712","V",0
"408","154534","A02","0.910","A2712","V",0
"409","155551","A02","0.917","A2712","V",0
"410","156568","A02","0.918","A2712","V",0
"411","157585","A02","0.919","A2712","V",0
"412","158601","A02","0.922","A2712","V",0
"413","159617","A02","0.925","A2712","V",0
"414","160635","A02","0.921","A2712","V",0
"415","161652","A02","0.928","A2712","V",0
"416","162668","A02","0.923","A2712","V",0
"417","163685","A02","0.929","A2712","V",0
"418","164701","A02","0.929","A2712","V",0
"419","165719","A02","0.926","A2712","V",0
"420","166735","A02","0.929","A2712","V",0
"421","167753","A02","0.931","A2712","V",0
"422","168770","A02","0.936","A2712","V",0
"423","169786","A02","0.935","A2712","V",0
"424","170802","A02","0.935","A2712","V",0
"425","171820","A02","0.937","A2712","V",0
"426","172837","A02","0.933","A2712","V",0
"427","173853","A02","0.932","A2712","V",0
"428","174870","A02","0.938","A2712","V",0
"429","175887","A02","0.937","A2712","V",0
"430","176904","A02","0.948","A2712","V",0
"431","177921","A02","0.944","A2712","V",0
"432","178938","A02","0.948","A2712","V",0
"433","179955","A02","0.952","A2712","V",0
"434","180972","A02","0.955","A2712","V",0
"435","181989","A02","0.953","A2712","V",0
"436","183006","A02","0.953","A2712","V",0
"437","184023","A02","0.957","A2712","V",0
"438","185039","A02","0.955","A2712","V",0
"439","186056","A02","0.957","A2712","V",0
"440","187073","A02","0.962","A2712","V",0
"441","188090","A02","0.961","A2712","V",0
"442","189107","A02","0.964","A2712","V",0
"443","190124","A02","0.960","A2712","V",0
"444","191141","A02","0.964","A2712","V",0
"445","192158","A02","0.961","A2712","V",0
"446","193174","A02","0.970","A2712","V",0
"447","194191","A02","0.967","A2712","V",0
"448","195207","A02","0.970","A2712","V",0
"449","196224","A02","0.973","A2712","V",0
"450","197240","A02","0.973","A2712","V",0
"451","198257","A02","0.975","A2712","V",0
"452","199274","A02","0.969","A2712","V",0
"453","200291","A02","0.976","A2712","V",0
"454","201308","A02","0.977","A2712","V",0
"455","202324","A02","0.978","A2712","V",0
"456","203341","A02","0.981","A2712","V",0
"457","204358","A02","0.979","A2712","V",0
"458","205374","A02","0.984","A2712","V",0
"459","206391","A02","0.985","A2712","V",0
"460","207408","A02","0.986","A2712","V",0
"461","208425","A02","0.986","A2712","V",0
"462","209442","A02","0.989","A2712","V",0
"463","210459","A02","0.989","A2712","V",0
"464","211476","A02","0.988","A2712","V",0
"465","212493","A02","0.992","A2712","V",0
"466","213510","A02","0.990","A2712","V",0
"467","214527","A02","0.995","A2712","V",0
"468","215544","A02","0.995","A2712","V",0
"469","216561","A02","0.997","A2712","V",0
"470","217577","A02","0.995","A2712","V",0
"471","218594","A02","0.999","A2712","V",0
"472","219611","A02","0.997","A2712","V",0
"473","220628","A02","1.001","A2712","V",0
"474","221644","A02","1.004","A2712","V",0
"475","222661","A02","1.004","A2712","V",0
"476","223678","A02","0.999","A2712","V",0
"477","224695","A02","1.001","A2712","V",0
"478","225712","A02","1.006","A2712","V",0
"479","226728","A02","1.009","A2712","V",0
"480","227745","A02","1.010","A2712","V",0
"481","228761","A02","1.006","A2712","V",0
"482","229779","A02","1.003","A2712","V",0
"483","230795","A02","1.011","A2712","V",0
"484","231812","A02","1.016","A2712","V",0
"485","232830","A02","1.013","A2712","V",0
"486","233847","A02","1.016","A2712","V",0
"487","234863","A02","1.017","A2712","V",0
"488","235880","A02","1.012","A2712","V",0
"489","236897","A02","1.022","A2712","V",0
"490","237914","A02","1.019","A2712","V",0
"491","238931","A02","1.018","A2712","V",0
"492","239948","A02","1.023","A2712","V",0
"493","240965","A02","1.024","A2712","V",0
"494","241981","A02","1.022","A2712","V",0
"495","242998","A02","1.025","A2712","V",0
"496","244014","A02","1.029","A2712","V",0
"497","245031","A02","1.024","A2712","V",0
"498","246048","A02","1.032","A2712","V",0
"499","247065","A02","1.031","A2712","V",0
"500","248081","A02","1.031","A2712","V",0
"501","249098","A02","1.031","A2712","V",0
"502","250115","A02","1.031","A2712","V",0
"503","251131","A02","1.030","A2712","V",0
"504","252148","A02","1.031","A2712","V",0
"505","253165","A02","1.036","A2712","V",0
"506","254182","A02","1.035","A2712","V",0
"507","255198","A02","1.037","A2712","V",0
"508","256215","A02","1.037","A2712","V",0
"509","257231","A02","1.038","A2712","V",0
"510","258248","A02","1.037","A2712","V",0
"511","0","A03","0.007","A2712","V",0
"512","1017","A03","0.006","A2712","V",0
"513","2034","A03","0.006","A2712","V",0
"514","3050","A03","0.010","A2712","V",0
"515","4067","A03","0.011","A2712","V",0
"516","5083","A03","0.014","A2712","V",0
"517","6099","A03","0.019","A2712","V",0
"518","7116","A03","0.024","A2712","V",0
"519","8133","A03","0.030","A2712","V",0
"520","9150","A03","0.039","A2712","V",0
"521","10166","A03","0.050","A2712","V",0
"522","11183","A03","0.063","A2712","V",0
"523","12200","A03","0.079","A2712","V",0
"524","13216","A03","0.099","A2712","V",0
"525","14232","A03","0.126","A2712","V",0
"526","15249","A03","0.165","A2712","V",0
"527","16265","A03","0.211","A2712","V",0
"528","17282","A03","0.224","A2712","V",0
"529","18299","A03","0.247","A2712","V",0
"530","19315","A03","0.266","A2712","V",0
"531","20332","A03","0.285","A2712","V",0
"532","21348","A03","0.303","A2712","V",0
"533","22365","A03","0.317","A2712","V",0
"534","23382","A03","0.322","A2712","V",0
"535","24399","A03","0.341","A2712","V",0
"536","25415","A03","0.353","A2712","V",0
"537","26432","A03","0.368","A2712","V",0
"538","27449","A03","0.381","A2712","V",0
"539","28465","A03","0.402","A2712","V",0
"540","29482","A03","0.411","A2712","V",0
"541","30498","A03","0.424","A2712","V",0
"542","31515","A03","0.436","A2712","V",0
"543","32532","A03","0.453","A2712","V",0
"544","33548","A03","0.463","A2712","V",0
"545","34564","A03","0.478","A2712","V",0
"546","35581","A03","0.490","A2712","V",0
"547","36597","A03","0.495","A2712","V",0
"548","37614","A03","0.508","A2712","V",0
"549","38631","A03","0.521","A2712","V",0
"550","39647","A03","0.534","A2712","V",0
"551","40664","A03","0.551","A2712","V",0
"552","41681","A03","0.552","A2712","V",0
"553","42698","A03","0.569","A2712","V",0
"554","43714","A03","0.568","A2712","V",0
"555","44731","A03","0.573","A2712","V",0
"556","45747","A03","0.586","A2712","V",0
"557","46764","A03","0.597","A2712","V",0
"558","47780","A03","0.613","A2712","V",0
"559","48798","A03","0.620","A2712","V",0
"560","49814","A03","0.625","A2712","V",0
"561","50831","A03","0.638","A2712","V",0
"562","51848","A03","0.649","A2712","V",0
"563","52864","A03","0.654","A2712","V",0
"564","53881","A03","0.666","A2712","V",0
"565","54898","A03","0.679","A2712","V",0
"566","55915","A03","0.686","A2712","V",0
"567","56931","A03","0.691","A2712","V",0
"568","57948","A03","0.694","A2712","V",0
"569","58964","A03","0.704","A2712","V",0
"570","59981","A03","0.707","A2712","V",0
"571","60998","A03","0.707","A2712","V",0
"572","62014","A03","0.722","A2712","V",0
"573","63031","A03","0.728","A2712","V",0
"574","64047","A03","0.741","A2712","V",0
"575","65064","A03","0.748","A2712","V",0
"576","66080","A03","0.760","A2712","V",0
"577","67097","A03","0.759","A2712","V",0
"578","68114","A03","0.768","A2712","V",0
"579","69131","A03","0.776","A2712","V",0
"580","70148","A03","0.783","A2712","V",0
"581","71165","A03","0.791","A2712","V",0
"582","72182","A03","0.791","A2712","V",0
"583","73199","A03","0.793","A2712","V",0
"584","74215","A03","0.801","A2712","V",0
"585","75232","A03","0.808","A2712","V",0
"586","76248","A03","0.813","A2712","V",0
"587","77265","A03","0.814","A2712","V",0
"588","78282","A03","0.817","A2712","V",0
"589","79299","A03","0.820","A2712","V",0
"590","80316","A03","0.824","A2712","V",0
"591","81332","A03","0.827","A2712","V",0
"592","82349","A03","0.830","A2712","V",0
"593","83366","A03","0.832","A2712","V",0
"594","84382","A03","0.836","A2712","V",0
"595","85399","A03","0.839","A2712","V",0
"596","86416","A03","0.848","A2712","V",0
"597","87433","A03","0.851","A2712","V",0
"598","88450","A03","0.856","A2712","V",0
"599","89466","A03","0.853","A2712","V",0
"600","90483","A03","0.856","A2712","V",0
"601","91500","A03","0.859","A2712","V",0
"602","92516","A03","0.860","A2712","V",0
"603","93533","A03","0.863","A2712","V",0
"604","94550","A03","0.872","A2712","V",0
"605","95566","A03","0.875","A2712","V",0
"606","96583","A03","0.877","A2712","V",0
"607","97600","A03","0.875","A2712","V",0
"608","98616","A03","0.880","A2712","V",0
"609","99633","A03","0.883","A2712","V",0
"610","100650","A03","0.886","A2712","V",0
"611","101666","A03","0.890","A2712","V",0
"612","102683","A03","0.889","A2712","V",0
"613","103699","A03","0.891","A2712","V",0
"614","104716","A03","0.891","A2712","V",0
"615","105733","A03","0.895","A2712","V",0
"616","106749","A03","0.898","A2712","V",0
"617","107766","A03","0.906","A2712","V",0
"618","108783","A03","0.908","A2712","V",0
"619","109799","A03","0.912","A2712","V",0
"620","110816","A03","0.912","A2712","V",0
"621","111832","A03","0.915","A2712","V",0
"622","112849","A03","0.918","A2712","V",0
"623","113866","A03","0.911","A2712","V",0
"624","114882","A03","0.915","A2712","V",0
"625","115899","A03","0.924","A2712","V",0
"626","116916","A03","0.927","A2712","V",0
"627","117933","A03","0.927","A2712","V",0
"628","118949","A03","0.931","A2712","V",0
"629","119966","A03","0.934","A2712","V",0
"630","120982","A03","0.935","A2712","V",0
"631","121999","A03","0.939","A2712","V",0
"632","123015","A03","0.937","A2712","V",0
"633","124032","A03","0.941","A2712","V",0
"634","125049","A03","0.944","A2712","V",0
"635","126066","A03","0.937","A2712","V",0
"636","127082","A03","0.947","A2712","V",0
"637","128099","A03","0.944","A2712","V",0
"638","129116","A03","0.943","A2712","V",0
"639","130133","A03","0.945","A2712","V",0
"640","131150","A03","0.948","A2712","V",0
"641","132167","A03","0.958","A2712","V",0
"642","133184","A03","0.955","A2712","V",0
"643","134201","A03","0.959","A2712","V",0
"644","135217","A03","0.964","A2712","V",0
"645","136234","A03","0.959","A2712","V",0
"646","137250","A03","0.960","A2712","V",0
"647","138267","A03","0.963","A2712","V",0
"648","139284","A03","0.966","A2712","V",0
"649","140300","A03","0.973","A2712","V",0
"650","141317","A03","0.975","A2712","V",0
"651","142333","A03","0.978","A2712","V",0
"652","143350","A03","0.975","A2712","V",0
"653","144368","A03","0.976","A2712","V",0
"654","145385","A03","0.978","A2712","V",0
"655","146402","A03","0.976","A2712","V",0
"656","147418","A03","0.973","A2712","V",0
"657","148435","A03","0.977","A2712","V",0
"658","149451","A03","0.978","A2712","V",0
"659","150468","A03","0.978","A2712","V",0
"660","151484","A03","0.989","A2712","V",0
"661","152501","A03","0.989","A2712","V",0
"662","153518","A03","0.983","A2712","V",0
"663","154534","A03","0.988","A2712","V",0
"664","155551","A03","0.996","A2712","V",0
"665","156568","A03","0.996","A2712","V",0
"666","157585","A03","0.997","A2712","V",0
"667","158601","A03","1.000","A2712","V",0
"668","159617","A03","1.001","A2712","V",0
"669","160635","A03","0.999","A2712","V",0
"670","161652","A03","1.003","A2712","V",0
"671","162668","A03","1.001","A2712","V",0
"672","163685","A03","1.004","A2712","V",0
"673","164701","A03","1.008","A2712","V",0
"674","165719","A03","1.004","A2712","V",0
"675","166735","A03","1.005","A2712","V",0
"676","167753","A03","1.009","A2712","V",0
"677","168770","A03","1.012","A2712","V",0
"678","169786","A03","1.012","A2712","V",0
"679","170802","A03","1.013","A2712","V",0
"680","171820","A03","1.015","A2712","V",0
"681","172837","A03","1.010","A2712","V",0
"682","173853","A03","1.010","A2712","V",0
"683","174870","A03","1.015","A2712","V",0
"684","175887","A03","1.019","A2712","V",0
"685","176904","A03","1.025","A2712","V",0
"686","177921","A03","1.024","A2712","V",0
"687","178938","A03","1.026","A2712","V",0
"688","179955","A03","1.028","A2712","V",0
"689","180972","A03","1.029","A2712","V",0
