Well,Strain,Arsenic,Concentration
A01,NEG,V,0
A02,A2712,V,0
A03,A2712,V,0
A04,A2712,V,0
A05,A2731,V,0
A06,A2731,V,0
A07,A2731,V,0
A08,I2748,V,0
A09,I2748,V,0
A10,I2748,V,0
A11,I2716,V,0
A12,I2716,V,0
B01,NEG,V,10
B02,A2712,V,10
B03,A2712,V,10
B04,A2712,V,10
B05,A2731,V,10
B06,A2731,V,10
B07,A2731,V,10
B08,I2748,V,10
B09,I2748,V,10
B10,I2748,V,10
B11,I2716,V,10
B12,I2716,V,10
C01,NEG,V,50
C02,A2712,V,50
C03,A2712,V,50
C04,A2712,V,50
C05,A2731,V,50
C06,A2731,V,50
C07,A2731,V,50
C08,I2748,V,50
C09,I2748,V,50
C10,I2748,V,50
C11,I2716,V,50
C12,I2716,V,50
D01,NEG,V,100
D02,A2712,V,100
D03,A2712,V,100
D04,A2712,V,100
D05,A2731,V,100
D06,A2731,V,100
D07,A2731,V,100
D08,I2748,V,100
D09,I2748,V,100
D10,I2748,V,100
D11,I2716,V,100
D12,I2716,V,100
E01,NEG,V,150
E02,A2712,V,150
E03,A2712,V,150
E04,A2712,V,150
E05,A2731,V,150
E06,A2731,V,150
E07,A2731,V,150
E08,I2748,V,150
E09,I2748,V,150
E10,I2748,V,150
E11,I2716,V,150
E12,I2716,V,150
F01,NEG,V,200
F02,A2712,V,200
F03,A2712,V,200
F04,A2712,V,200
F05,A2731,V,200
F06,A2731,V,200
F07,A2731,V,200
F08,I2748,V,200
F09,I2748,V,200
F10,I2748,V,200
F11,I2716,V,0
F12,I2716,V,100
G01,NEG,V,250
G02,A2712,V,250
G03,A2712,V,250
G04,A2712,V,250
G05,A2731,V,250
G06,A2731,V,250
G07,A2731,V,250
G08,I2748,V,250
G09,I2748,V,250
G10,I2748,V,250
G11,I2716,V,10
G12,I2716,V,150
H01,NEG,V,300
H02,A2712,V,300
H03,A2712,V,300
H04,A2712,V,300
H05,A2731,V,300
H06,A2731,V,300
H07,A2731,V,300
H08,I2748,V,300
H09,I2748,V,300
H10,I2748,V,300
H11,I2716,V,50
H12,I2716,V,0
