Well,Strain,Arsenic,Concentration
A01,I2742,III,0
A02,I2742,III,0
A03,I2742,III,0
A04,I2742b,III,0
A05,NEG,III,0
A06,I2742,V,0
A07,I2742,V,0
A08,I2742,V,0
A09,I2742b,V,0
A10,NEG,V,0
A11,x,V,0
A12,x,V,0
B01,I2742,III,1
B02,I2742,III,1
B03,I2742,III,1
B04,I2742b,III,1
B05,NEG,III,1
B06,I2742,V,10
B07,I2742,V,10
B08,I2742,V,10
B09,I2742b,V,10
B10,NEG,V,10
B11,x,V,0
B12,x,V,0
C01,I2742,III,3
C02,I2742,III,3
C03,I2742,III,3
C04,I2742b,III,3
C05,NEG,III,3
C06,I2742,V,50
C07,I2742,V,50
C08,I2742,V,50
C09,I2742b,V,50
C10,NEG,V,50
C11,x,V,0
C12,x,V,0
D01,I2742,III,5
D02,I2742,III,5
D03,I2742,III,5
D04,I2742b,III,5
D05,NEG,III,5
D06,I2742,V,100
D07,I2742,V,100
D08,I2742,V,100
D09,I2742b,V,100
D10,NEG,V,100
D11,x,V,0
D12,x,V,0
E01,I2742,III,7
E02,I2742,III,7
E03,I2742,III,7
E04,I2742b,III,7
E05,NEG,III,7
E06,I2742,V,150
E07,I2742,V,150
E08,I2742,V,150
E09,I2742b,V,150
E10,NEG,V,150
E11,x,V,0
E12,x,V,0
F01,I2742,III,10
F02,I2742,III,10
F03,I2742,III,10
F04,I2742b,III,10
F05,NEG,III,10
F06,I2742,V,200
F07,I2742,V,200
F08,I2742,V,200
F09,I2742b,V,200
F10,NEG,V,200
F11,x,V,0
F12,x,V,0
G01,I2742,III,14
G02,I2742,III,14
G03,I2742,III,14
G04,I2742b,III,14
G05,NEG,III,14
G06,I2742,V,250
G07,I2742,V,250
G08,I2742,V,250
G09,I2742b,V,250
G10,NEG,V,250
G11,x,V,0
G12,x,V,0
H01,I2742,III,20
H02,I2742,III,20
H03,I2742,III,20
H04,I2742b,III,20
H05,NEG,III,20
H06,I2742,V,300
H07,I2742,V,300
H08,I2742,V,300
H09,I2742b,V,300
H10,NEG,V,300
H11,x,V,0
H12,x,V,0
