Well,Strain,Arsenic,Concentration
A01,I2746,V,0
A02,I2746,V,10
A03,I2746,V,50
A04,I2746,V,100
A05,I2746,V,150
A06,I2746,V,200
A07,NEG,V,0
A08,NEG,V,10
A09,NEG,V,50
A10,NEG,V,100
A11,NEG,V,150
A12,NEG,V,200
B01,I2746,V,0
B02,I2746,V,10
B03,I2746,V,50
B04,I2746,V,100
B05,I2746,V,150
B06,I2746,V,200
B07,I2747,V,0
B08,I2747,V,10
B09,I2747,V,50
B10,I2747,V,100
B11,I2747,V,150
B12,I2747,V,200
C01,I2746,V,0
C02,I2746,V,10
C03,I2746,V,50
C04,I2746,V,100
C05,I2746,V,150
C06,I2746,V,200
C07,I2747,V,0
C08,I2747,V,10
C09,I2747,V,50
C10,I2747,V,100
C11,I2747,V,150
C12,I2747,V,200
D01,I2759,V,0
D02,I2759,V,10
D03,I2759,V,50
D04,I2759,V,100
D05,I2759,V,150
D06,I2759,V,200
D07,I2747,V,0
D08,I2747,V,10
D09,I2747,V,50
D10,I2747,V,100
D11,I2747,V,150
D12,I2747,V,200
E01,I2759,V,0
E02,I2759,V,10
E03,I2759,V,50
E04,I2759,V,100
E05,I2759,V,150
E06,I2759,V,200
E07,NEG,III,0
E08,NEG,III,1
E09,NEG,III,3
E10,NEG,III,5
E11,I2747,III,5
E12,I2747,III,5
F01,I2759,V,0
F02,I2759,V,10
F03,I2759,V,50
F04,I2759,V,100
F05,I2759,V,150
F06,I2759,V,200
F07,I2747,III,0
F08,I2747,III,0
F09,I2747,III,0
F10,I2747,III,1
F11,I2747,III,1
F12,I2747,III,1
G01,I2723,III,0
G02,I2723,III,0
G03,I2723,III,0
G04,I2723,III,1
G05,I2723,III,1
G06,I2723,III,1
G07,I2723,III,3
G08,I2723,III,3
G09,I2723,III,3
G10,I2723,III,5
G11,I2723,III,5
G12,I2723,III,5
H01,I2749,III,0
H02,I2749,III,0
H03,I2749,III,0
H04,I2749,III,1
H05,I2749,III,1
H06,I2749,III,1
H07,I2749,III,3
H08,I2749,III,3
H09,I2749,III,3
H10,I2749,III,5
H11,I2749,III,5
H12,I2749,III,5
