Well,Strain,Arsenic,Concentration
A01,I2702,V,0
A02,I2702,V,10
A03,I2702,V,50
A04,I2702,V,100
A05,I2702,V,150
A06,I2702,V,200
A07,I2718,V,0
A08,I2718,V,10
A09,I2718,V,50
A10,I2718,V,100
A11,I2718,V,150
A12,I2718,V,200
B01,I2702,V,0
B02,I2702,V,10
B03,I2702,V,50
B04,I2702,V,100
B05,I2702,V,150
B06,I2702,V,200
B07,I2720,V,0
B08,I2720,V,10
B09,I2720,V,50
B10,I2720,V,100
B11,I2720,V,150
B12,I2720,V,200
C01,I2702,V,0
C02,I2702,V,10
C03,I2702,V,50
C04,I2702,V,100
C05,I2702,V,150
C06,I2702,V,200
C07,I2720,V,0
C08,I2720,V,10
C09,I2720,V,50
C10,I2720,V,100
C11,I2720,V,150
C12,I2720,V,200
D01,I2706,V,0
D02,I2706,V,10
D03,I2706,V,50
D04,I2706,V,100
D05,I2706,V,150
D06,I2706,V,200
D07,I2720,V,0
D08,I2720,V,10
D09,I2720,V,50
D10,I2720,V,100
D11,I2720,V,150
D12,I2720,V,200
E01,I2706,V,0
E02,I2706,V,10
E03,I2706,V,50
E04,I2706,V,100
E05,I2706,V,150
E06,I2706,V,200
E07,I2746,V,0
E08,I2746,V,10
E09,I2746,V,50
E10,I2746,V,100
E11,I2746,V,150
E12,I2746,V,200
F01,I2706,V,0
F02,I2706,V,10
F03,I2706,V,50
F04,I2706,V,100
F05,I2706,V,150
F06,I2706,V,200
F07,I2746,V,0
F08,I2746,V,10
F09,I2746,V,50
F10,I2746,V,100
F11,I2746,V,150
F12,I2746,V,200
G01,I2718,V,0
G02,I2718,V,10
G03,I2718,V,50
G04,I2718,V,100
G05,I2718,V,150
G06,I2718,V,200
G07,I2746,V,0
G08,I2746,V,10
G09,I2746,V,50
G10,I2746,V,100
G11,I2746,V,150
G12,I2746,V,200
H01,I2718,V,0
H02,I2718,V,10
H03,I2718,V,50
H04,I2718,V,100
H05,I2718,V,150
H06,I2718,V,200
H07,NEG,V,0
H08,NEG,V,10
H09,NEG,V,50
H10,NEG,V,100
H11,NEG,V,150
H12,NEG,V,200
